,n_fires,ret_pct
2022-06-01,5.0,-0.37264067061659745
2022-06-02,1.0,0.6370004993115463
2022-06-03,2.0,-0.2628050201467391
2022-06-07,2.0,-0.9245946006475991
2022-06-08,3.0,-0.36609606157923524
2022-06-09,1.0,0.744972774168895
2022-06-15,1.0,-0.2539344381356057
2022-06-17,1.0,-0.43682936266399297
2022-06-23,1.0,0.9300447519609234
2022-06-24,2.0,0.9166472588529428
2022-06-27,3.0,0.8458990377725017
2022-06-28,3.0,0.11464333961117568
2022-06-29,1.0,-0.32239710103227903
2022-06-30,1.0,-0.11930812414028269
2022-07-01,1.0,-0.17870563085186086
2022-07-04,1.0,0.5288188249805481
2022-07-05,3.0,-0.15471713984448465
2022-07-06,5.0,1.1318189707300252
2022-07-07,8.0,0.894949203151052
2022-07-08,3.0,0.5436047866567373
2022-07-11,6.0,-0.028356592763323363
2022-07-12,4.0,-0.97249750439381
2022-07-13,2.0,-0.5707292501522909
2022-07-14,4.0,-0.1753655232310969
2022-07-15,5.0,0.6935957686387662
2022-07-18,13.0,1.4287304158276504
2022-07-19,16.0,0.3811764271124396
2022-07-20,24.0,1.103388850696918
2022-07-21,15.0,0.5108719746296009
2022-07-22,19.0,0.6877295960614926
2022-07-25,12.0,-0.5290199311757782
2022-07-26,4.0,-0.884795806776506
2022-07-27,12.0,0.9582177441437301
2022-07-28,23.0,1.7293731123692924
2022-07-29,37.0,1.3505953826479233
2022-08-01,36.0,1.0595531668439406
2022-08-02,34.0,0.0311327663805816
2022-08-03,15.0,0.24618083588656692
2022-08-04,22.0,-0.03537116074355806
2022-08-05,17.0,0.08917270739845495
2022-08-08,11.0,0.7334364671648164
2022-08-10,20.0,0.05506610997998429
2022-08-11,26.0,0.7085929368824795
2022-08-12,19.0,0.22170219505635025
2022-08-16,35.0,0.7181519343531395
2022-08-17,42.0,0.6675923198833145
2022-08-18,29.0,0.06826699360520383
2022-08-19,20.0,-1.1029475746944017
2022-08-22,4.0,-1.50773300473388
2022-08-23,7.0,0.49626821755044404
2022-08-24,8.0,0.1561611079505143
2022-08-25,17.0,-0.46861822192667546
2022-08-26,16.0,0.2080255529346653
2022-08-29,6.0,-1.4009988924553851
2022-08-30,17.0,2.578426378902554
2022-09-01,18.0,-1.2190795272107646
2022-09-02,18.0,-0.01910505934481499
2022-09-05,12.0,0.7203850071011875
2022-09-06,19.0,-0.05774531254664206
2022-09-07,20.0,-0.17671004916441913
2022-09-08,19.0,0.9892512965589573
2022-09-09,24.0,0.19439347917691308
2022-09-12,21.0,0.5775695663245095
2022-09-13,35.0,0.7454201929980142
2022-09-14,23.0,-0.3669097671756161
2022-09-15,21.0,-0.7017960667916379
2022-09-16,11.0,-1.9384853148544656
2022-09-19,7.0,0.521368859248672
2022-09-20,20.0,1.1008809885230342
2022-09-21,9.0,-0.5495005437451739
2022-09-22,7.0,-0.4997577656902563
2022-09-23,4.0,-1.7155677232420508
2022-09-28,1.0,-0.874917846539458
2022-09-30,3.0,1.642575596626905
2022-10-03,5.0,-1.2109264448790458
2022-10-04,1.0,2.291367093271912
2022-10-06,2.0,0.33286441360573793
2022-10-07,3.0,-0.09895331040011834
2022-10-10,4.0,-0.425364584114718
2022-10-12,1.0,0.8246145339619648
2022-10-13,3.0,-0.6380083772817624
2022-10-14,3.0,1.0070888003887335
2022-10-17,1.0,0.7337586960815656
2022-10-18,7.0,1.0117285874136073
2022-10-19,6.0,0.14468379208691928
2022-10-20,1.0,0.2952174549244013
2022-10-21,7.0,0.07032337856462956
2022-10-24,4.0,0.8787356376761757
2022-10-25,8.0,-0.41961220267050514
2022-10-27,12.0,0.45649078749665506
2022-10-28,9.0,0.2810605244745412
2022-10-31,13.0,1.26722303955642
2022-11-01,16.0,0.7395053222392978
2022-11-02,15.0,-0.3447197631545107
2022-11-03,9.0,-0.16673473084335422
2022-11-04,10.0,0.3570168155688336
2022-11-07,16.0,0.4727586225111935
2022-11-09,18.0,-0.2516139235956394
2022-11-10,4.0,-0.7093725904609771
2022-11-11,15.0,1.7833173247033374
2022-11-14,14.0,-0.11198455015547504
2022-11-15,10.0,0.40509242609507723
2022-11-16,10.0,0.03396111515991951
2022-11-17,4.0,-0.357149639481924
2022-11-18,2.0,-0.19761337135545398
2022-11-21,4.0,-0.8067729540576885
2022-11-22,9.0,0.463933015368867
2022-11-23,8.0,0.12634580983039712
2022-11-24,14.0,1.1870949889830174
2022-11-25,13.0,0.15500019600884762
2022-11-28,12.0,0.27008413120686026
2022-11-29,11.0,0.297912654375021
2022-11-30,14.0,0.7535634625419174
2022-12-01,22.0,0.2886735334004964
2022-12-02,18.0,-0.6187396179402005
2022-12-05,17.0,0.026482378562620035
2022-12-06,8.0,-0.3117513659096294
