ticker,date,group,ema34_rising10,fresh,swing_pnl,day1_pnl
BELRISE,2025-12-23,Delta,5.0,True,4.333170344502624,
BELRISE,2025-12-26,Delta,6.0,False,-8.2796094805495,
BELRISE,2025-12-29,Delta,6.0,False,-12.18677804010282,
BELRISE,2026-01-02,Common,9.0,False,-15.577691438207674,
BELRISE,2026-03-06,Common,10.0,True,-2.802159655863612,
BELRISE,2026-03-25,Delta,6.0,True,1.787583520037228,
BELRISE,2026-04-10,Common,10.0,True,8.157840596537413,
BELRISE,2026-04-15,Common,10.0,True,5.757092746977888,
BELRISE,2026-04-16,Common,10.0,False,5.023572246029362,
BELRISE,2026-04-17,Common,10.0,False,1.9421452485587798,
BELRISE,2026-04-20,Common,10.0,False,-5.601379037253407,
BELRISE,2026-05-07,Common,10.0,False,-3.838246555026037,
BELRISE,2026-06-09,Common,10.0,False,6.0736561073095,
BELRISE,2026-06-15,Common,10.0,False,-6.471867700921252,
BELRISE,2026-06-17,Common,10.0,False,-5.908475663874569,
BELRISE,2026-06-22,Common,10.0,False,-5.869678252100452,
BELRISE,2026-06-25,Common,10.0,False,-9.539203700458199,
BELRISE,2026-08-03,Delta,7.0,True,6.9723368111302975,
BELRISE,2026-08-07,Common,9.0,True,5.9265813918252475,
BELRISE,2026-08-10,Common,9.0,True,4.01990292677239,
BELRISE,2026-08-12,Common,10.0,False,-9.54635259836849,
BEML,2021-12-02,Delta,8.0,False,4.119087058131843,
BEML,2021-12-06,Delta,8.0,False,-22.298264181359826,
BEML,2021-12-07,Common,9.0,False,-21.80378538127966,
BEML,2023-08-02,Common,10.0,False,4.645624872369147,
BEML,2023-08-23,Common,10.0,False,14.741350746560023,
BEML,2023-08-29,Common,10.0,False,16.887874186827045,
BEML,2023-08-31,Common,10.0,False,3.583205608070217,
BEML,2023-09-01,Common,10.0,False,1.8261729291167539,
BEML,2023-09-08,Common,10.0,False,-9.813550454117914,
BEML,2023-09-11,Common,10.0,False,-12.6011821196652,
BEML,2023-12-19,Common,10.0,False,17.12350793560715,
BEML,2023-12-22,Common,10.0,False,11.427166818508727,
BEML,2023-12-26,Common,10.0,False,9.232207755548494,
BEML,2023-12-27,Common,10.0,False,-0.8390956996387033,
BEML,2024-01-05,Common,10.0,False,19.848289417111985,
BEML,2024-01-08,Common,10.0,False,11.121657214721314,
BEML,2024-01-29,Common,10.0,True,16.202292674995977,
BEML,2024-01-30,Common,10.0,False,14.932322263247366,
BEML,2024-01-31,Common,10.0,False,-9.762609553169256,
BEML,2024-02-01,Common,10.0,False,-11.745563296770722,
BEML,2024-02-02,Common,10.0,False,-21.71438527208316,
BEML,2024-04-08,Common,10.0,True,5.987062687458411,
BEML,2024-04-10,Common,10.0,True,2.8899563764427816,
BEML,2024-04-24,Common,10.0,False,3.698112526498565,
BEML,2024-05-13,Delta,7.0,True,8.451767769893426,
BEML,2024-05-14,Delta,7.0,False,7.430839348175744,
BEML,2024-05-17,Delta,7.0,False,13.473208679166525,
BEML,2024-05-21,Delta,7.0,False,-8.125872264919554,
BEML,2024-05-22,Delta,8.0,False,-11.872742632238953,
BEML,2024-05-23,Delta,8.0,False,-14.334312387381997,
BEML,2024-06-03,Common,10.0,False,-1.6414489626120021,
BEML,2024-06-18,Delta,7.0,False,4.891173202995458,
BEML,2024-07-04,Common,10.0,False,-1.947227959861153,
BEML,2024-07-05,Common,10.0,False,-3.209792170176695,
BEML,2024-10-18,Delta,3.0,True,4.0436044985317166,
BEML,2024-11-06,Delta,7.0,False,-7.4753082883187165,
BEML,2024-11-07,Delta,7.0,False,-1.908383631174726,
BEML,2024-11-28,Delta,4.0,False,3.298981284055902,
BEML,2024-12-04,Delta,8.0,True,-0.01020479533652141,
