group,fresh,swing_pnl,day1_pnl
Common,True,6.601684485193249,3.2438917582413795
Common,True,5.572414229523814,0.41161728818801535
Common,True,4.710891193540401,0.35485057594906166
Common,False,3.6362130911838264,-0.275507786199658
Common,False,3.0430633531746576,-1.2215197997719307
Common,False,20.905561780550762,2.6474287263359875
Common,False,17.72220273641958,2.8155482897472606
Common,False,13.207645618994013,0.6108455579200367
Common,False,0.2683539360140541,-0.7393682140966473
Common,False,9.730228456509792,1.4846088283681391
Common,False,7.692228123495459,-0.7893085890196883
Common,False,6.168706795847512,-0.7353279100882681
Common,False,4.723526017429491,1.7725062898435562
Common,False,3.259049256349722,1.7482186658709153
Common,False,-2.4200862362744546,0.4093640841567714
Common,False,-3.9109922252351548,0.5079237548093474
Common,True,2.0601176487172523,-0.23474178403753987
Common,True,0.8527280020595107,-0.4282650036944835
Common,True,0.15529873300650365,0.2583703179843244
Common,True,1.7072469134671975,-0.8197506373925689
Common,True,1.7457801631802106,-0.09870080742097054
Common,True,2.5212114861088653,0.6241979187874724
Common,True,1.3946620317979885,-1.9655819264334018
Common,True,5.9889602819555465,0.1673569545082687
Common,True,4.255890852904365,-0.14658795632561672
Common,True,5.692092184347408,2.2065371370596276
Common,False,2.3168883852693556,-1.4507735088036156
Common,False,0.9354721998606985,0.1294177717556355
Common,True,2.300998639845808,0.36128698663955294
Common,True,5.686335840859158,2.4099336970360152
Common,False,2.7302932844397887,0.42062247002263575
Common,False,1.7574648092699041,0.1265089273094766
Common,False,1.0088229469277232,0.7976546759585368
Common,True,-1.2977248663501806,0.7993812440573622
Common,False,-1.813173974007698,-1.9352495888472543
Delta,True,1.7510493092621093,0.41641734014368215
Common,True,-0.8095675871577557,-1.2067247511551193
Common,False,2.027575405052784,-2.5877189037659676
Common,True,0.20631593570807905,0.7445435789154242
Common,False,-0.18293579621222467,1.4446683704544494
Common,False,-2.9550268007696445,-1.4324351397375423
Delta,True,5.832665697358141,4.025925744764436
Common,True,1.2306636718846242,0.2971940362164638
Common,True,0.6945097965406433,-2.1287007585025552
Common,True,-1.8678984982287816,0.23750825050077307
Common,False,-1.6153768915837308,0.6694920459431319
Common,False,7.8075805066426085,
Common,True,4.316512505261194,
Common,False,3.3996998279095303,
Common,False,8.17610292068549,
Common,True,11.357555683726716,
Common,False,4.97890563706036,
Common,False,-13.420553943240366,
Common,False,-14.990048966127368,
Delta,True,3.3376346290333814,
Delta,True,3.5438089524008287,
Delta,True,1.5259240986177591,
Common,True,-5.0840335909048235,
Common,True,-4.489249661603023,
Common,False,-6.49531729342675,
Common,False,-8.036538094166556,
Common,False,-5.947551454769728,
Common,False,3.8904073577224585,
Common,False,3.897867453820014,
Delta,True,4.155854625875288,
Delta,True,1.6504648083099482,
Common,True,-10.681887075803564,
Common,True,-10.620016098584983,
Common,False,-15.281815140463205,
Common,False,7.05164882864564,
Common,False,2.4890122313266483,
Common,False,-1.517955648791014,
Common,False,-8.38522257869908,
Common,False,8.845689373060406,
Common,True,5.934398119901196,
Common,False,4.097450917004464,
Common,True,4.146486043743902,
Common,False,-0.2738813040215726,
Common,False,-1.414586055895617,
Common,False,-0.45220349398615856,
Common,False,-1.3643091092013448,
Common,True,-4.127147715375923,
Delta,True,-4.900541524123636,
Common,True,-2.762471529713295,
Common,True,-8.873707112170425,
Delta,True,5.271952975268168,
Delta,True,-1.3111974714280383,
Delta,False,-2.338019123021984,
Common,False,-14.696951153769112,
Common,False,10.92689468092669,
Common,False,8.382304419388898,
Common,False,7.3989960120327325,
Common,True,4.588832884733374,
Common,False,-11.185250219490783,
Common,False,-3.736492197775465,
Common,False,1.3347148069162484,
Common,True,-5.060367112371988,
Delta,True,13.230049947670807,
Common,True,12.087782431714956,
Common,False,1.817060063317677,
Common,False,-7.094734017324866,
Delta,True,4.4179073967614,
Delta,True,3.717756320065657,
Delta,False,-5.639088142334647,
Delta,False,-11.373962158697603,
Delta,False,-11.718590111392102,
Common,True,3.0703733563311353,
Common,True,-4.245299160760895,
Common,True,-4.051636521263047,
Common,True,-5.049272059920106,
Common,False,-5.652223592790772,
Common,True,15.909478254432074,
Common,False,11.296725391264895,
Common,False,-5.894736748754992,
Common,False,-8.736460209026909,
Delta,True,0.5214526739377723,
Common,True,4.388593810272701,
Common,True,1.4393232422238222,
Common,True,-2.677276993558464,
Common,True,-9.280566113753064,
Common,False,-6.205432288766122,
Common,False,-8.5177136173204,
Delta,True,10.337173832120495,
Delta,True,5.955710860686669,
Delta,False,4.223240114716464,
Delta,False,0.365179278638772,
Delta,False,-0.25812386852744895,
Common,True,-3.8510035333854997,
Delta,False,6.199487683818861,
Delta,False,-1.5093274542982593,
Common,False,6.655628582599871,
Common,False,-2.789153736984318,
Common,True,5.209228973616686,
Common,False,3.722591072255166,
Common,True,11.410658959281704,
Common,True,4.754859693165381,
Common,False,2.3389631180110726,
Common,False,-2.3293700635043546,
Delta,True,4.2795768092164455,
Common,True,-3.976441061519087,
Common,True,-2.9704077685219654,
Common,False,11.91766133166925,
Common,False,-5.500000006803374,
Common,False,-5.436123627371536,
Delta,True,-4.708602026835685,
Common,True,-7.119557635726181,
Common,False,8.562479129307876,
Common,False,4.823106688778345,
Common,False,5.55613540688169,
Common,False,6.157718319803718,
Common,False,-26.43445805021343,
Delta,True,14.382474240868204,
Delta,False,7.180025717980243,
Delta,False,-11.921433463539532,
Delta,False,-13.702177932535331,
Delta,False,-15.461250113500679,
Common,False,-4.428076312233475,
Common,True,-14.6740327418301,
Common,False,-5.379187796493412,
Common,False,2.805825608286705,
Common,False,8.76038395794254,
Common,False,8.208500893277382,
Common,False,5.680443881257458,
Common,False,4.757101721021084,
