ticker,i,date,swing_pnl,day1_pnl,early_version
ENRIN,205,2026-04-21,-4.1186342756024175,,True
ESCORTS,42,2021-10-29,3.3158238491655556,,False
ESCORTS,43,2021-11-01,2.7920849154730254,,False
ESCORTS,239,2022-08-16,11.016277043290579,,False
ESCORTS,240,2022-08-17,-1.1217560432524976,,False
ESCORTS,304,2022-11-21,10.379579877702838,,False
ESCORTS,305,2022-11-22,3.170152754859612,,True
ESCORTS,758,2024-09-24,-9.249348427749847,,False
ESCORTS,761,2024-09-27,-15.185041953259137,,False
ETERNAL,51,2021-11-12,-4.263403087508399,2.957435046987311,False
ETERNAL,52,2021-11-15,-10.370822561996984,3.3171751200436583,False
ETERNAL,53,2021-11-16,-10.063885505016213,-4.976041998311187,False
ETERNAL,238,2022-08-12,0.42769957965431704,5.3902085678308564,True
ETERNAL,239,2022-08-16,-6.174355735074155,2.1832274739552515,True
ETERNAL,274,2022-10-06,-5.437895240268087,0.5832043981527368,False
ETERNAL,275,2022-10-07,-7.868069197250039,2.8869258365757933,False
ETERNAL,633,2024-03-21,11.619469194750698,1.7408459016559963,False
ETERNAL,634,2024-03-22,8.812661837013769,0.8990101518631333,False
ETERNAL,635,2024-03-26,6.386311169010117,4.452018074656494,False
ETERNAL,636,2024-03-27,1.3175376668800975,-2.58345678234424,False
ETERNAL,694,2024-06-25,4.807969244025623,-0.12277833067428912,False
ETERNAL,748,2024-09-11,6.9384903522656804,1.711199927468221,False
ETERNAL,749,2024-09-12,2.6837393847812585,0.8810278612212175,False
ETERNAL,794,2024-11-18,0.3506444010918708,-0.1523737616690446,False
ETERNAL,798,2024-11-25,8.12033581951772,-1.107913733201138,True
ETERNAL,895,2025-04-22,-0.19412498675246415,0.0671228179228045,False
ETERNAL,926,2025-06-05,6.395439205497211,2.936927282375934,False
ETERNAL,927,2025-06-06,1.399080774671968,0.14488034346000767,False
ETERNAL,1096,2026-02-10,-20.129263443756017,0.8628103852057922,False
ETERNAL,1139,2026-04-17,-3.412385883612268,-1.063197267555549,False
ETERNAL,1140,2026-04-20,-6.310640728523509,-0.48970267240162624,False
ETERNAL,1141,2026-04-21,-8.262526842505968,-0.8524014485418729,False
ETERNAL,1142,2026-04-22,-5.8880231022346186,-0.27163285084917943,False
ETERNAL,1182,2026-06-19,6.022274231520974,0.26060175313906697,False
ETERNAL,1183,2026-06-22,5.061712446281841,-1.2111935378831817,False
EXIDEIND,644,2024-04-08,41.22932811382538,,False
EXIDEIND,645,2024-04-09,3.303558841122789,,False
EXIDEIND,647,2024-04-12,14.99620928637273,,True
EXIDEIND,648,2024-04-15,13.637766502475234,,True
EXIDEIND,649,2024-04-16,5.409455556824572,,True
EXIDEIND,768,2024-10-09,-10.222961026886024,,True
EXIDEIND,769,2024-10-10,-13.431883142638036,,True
EXIDEIND,897,2025-04-21,-2.676965601324366,,False
EXIDEIND,898,2025-04-22,-1.1815098041528582,,False
EXIDEIND,1169,2026-05-27,4.058513439194145,,False
EXIDEIND,1172,2026-06-02,-5.127863529304677,,False
FACT,690,2024-06-18,33.941401091571464,,True
FACT,897,2025-04-21,5.952323075177879,,False
FACT,899,2025-04-23,3.7423110199276355,,False
FACT,1136,2026-04-08,9.091411201605126,,False
FACT,1137,2026-04-09,6.618244091117131,,False
FEDERALBNK,29,2021-10-11,10.551959828514889,-0.4402665367232661,True
FEDERALBNK,92,2022-01-11,5.209095204362657,2.4076648849726157,True
FEDERALBNK,93,2022-01-12,3.7126015018392744,1.1454579003085996,True
FEDERALBNK,278,2022-10-12,4.429550561513906,0.5840412564288355,True
FEDERALBNK,458,2023-07-05,-0.049646119746027395,-0.7214512918450211,False
FEDERALBNK,459,2023-07-06,-0.6459219175767306,0.8751846735931768,False
FEDERALBNK,611,2024-02-16,-1.636855852228447,5.0409531033545285,False
